competitor,comp_path,context_path,is_leaf,source,candidates,staples_carries,gold_staples_path,note
WestElm,Bedding > Bedding Essentials > Down Inserts,Bedding > Bedding Essentials > Down Inserts,True,stratified sample,"Furniture > Decor > Beds & Bedding > Blankets & Throws || Coffee, Water & Snacks > Paper Products > Toilet Seat Covers || Furniture > Decor > Beds & Bedding > Mattress Pads & Toppers || Furniture > Decor > Beds & Bedding > Bedding || Healthcare Supplies > Patient Care > Exam Room Supplies & Equipment > Disposable Linens & Pillows || Retail Store Supplies > Spa & Salon > Spa & Massage > Pillows & Pillow Cover || Furniture > Decor > Beds & Bedding > Pillows || Healthcare Supplies > Patient Care > Exam Room Supplies & Equipment > Cotton Balls || Retail Store Supplies > Spa & Salon > Spa & Massage > Sheets & Linens || Cleaning Supplies > Cleaning Chemicals & Wipes > Hard Floor Care || Laboratory & Scientific Supplies > Labware & Consumables > Vials & Vial Inserts || Healthcare Supplies > Professional Dental Supplies > Dental Instruments > Ultrasonic Scaler Tips & Inserts",,,
WestElm,Furniture > Bedroom > Nightstands,Furniture > Bedroom > Nightstands,True,stratified sample,Furniture > Decor > Beds & Bedding > Headboards || Furniture > Bookcases & Bookshelves || Furniture > Desks || Furniture > Decor > Beds & Bedding || Furniture > Decor || Furniture > Storage Furniture || Furniture || Furniture > Chairs & Seating > Stools & Ottomans || Furniture > Desks > Desk Components & Hutches || Furniture > Chairs & Seating > Stools & Ottomans > Ottomans || Furniture > Carts & Stands > TV Stands || Furniture > Carts & Stands,,,
WestElm,Bath > Bathroom Furniture > Vanities,Bath > Bathroom Furniture > Vanities,True,stratified sample,Furniture > Decor > Bath & Shower Accessories || Furniture > Decor > Shower Curtains & Accessories || Healthcare Supplies > Durable Medical Equipment > Shower & Bath Aids > Shower Chairs / Benches || Furniture > Decor > Bath Mats & Towels || Furniture > Decor || Furniture > Decor > Beds & Bedding || Facilities > Plumbing > Sinks || Furniture > Bookcases & Bookshelves || Furniture > Decor > Home & Office Decor > Indoor Fireplaces || Facilities > Plumbing > Bathroom Hardware || Facilities || Facilities > Facilities Signs,,,
WestElm,Bath > Bathroom Furniture > Bathtubs,Bath > Bathroom Furniture > Bathtubs,True,stratified sample,Facilities > Plumbing > Tubs and Showers || Furniture > Decor > Bath & Shower Accessories || Healthcare Supplies > Durable Medical Equipment > Shower & Bath Aids > Shower Chairs / Benches || Facilities > Bathroom Fixtures > Hand Dryers || Furniture > Decor > Bath Mats & Towels || Facilities > Plumbing > Sinks || Facilities > Plumbing > Tubs and Showers > Wall Mounted Shower Heads || Healthcare Supplies > Durable Medical Equipment > Shower & Bath Aids > Commodes || Facilities > Bathroom Fixtures > Toilet Seat Cover Dispensers || Facilities > Plumbing > Tubs and Showers > Handheld Shower Heads || Retail Store Supplies > Spa & Salon > Bath & Body || Healthcare Supplies > Durable Medical Equipment > Shower & Bath Aids,,,
WestElm,Kitchen & Dining > Serveware > Serving Platters & Stands,Kitchen & Dining > Serveware > Serving Platters & Stands,True,stratified sample,"Restaurant & Foodservice Supplies > Restaurant Storage & Transport > Chafing Dishes & Buffet Accessories || Restaurant & Foodservice Supplies > Restaurant Storage & Transport > Catering & Buffet Supplies || Restaurant & Foodservice Supplies > Restaurant Storage & Transport > Kitchen Racks || Coffee, Water & Snacks > Plates, Cups & Cutlery || Restaurant & Foodservice Supplies > Tabletop > Bar Glassware || Furniture > Decor > Home & Office Decor > Decorative Baskets, Bowls and Boxes || Appliances & Kitchenware > Kitchenware > Kitchen Tools > Salad Spinners || Restaurant & Foodservice Supplies > Commercial Restaurant Equipment > Kitchen Work & Prep Tables || Restaurant & Foodservice Supplies > Restaurant Storage & Transport > Food Storage & Containers || Restaurant & Foodservice Supplies > Restaurant Storage & Transport > Restaurant Carts & Dollies || Furniture > Carts & Stands > TV Stands || Furniture > Carts & Stands",,,
WestElm,Furniture > Bedroom > Armoires & Wardrobes,Furniture > Bedroom > Armoires & Wardrobes,True,stratified sample,"Furniture > Bookcases & Bookshelves || Furniture > Desks || Furniture > Storage Furniture || Furniture > Decor > Beds & Bedding > Headboards || Furniture > Decor || Furniture || Furniture > Decor > Beds & Bedding || Furniture > Storage Furniture > Shelving || Furniture > Storage Furniture > Storage Cabinets || Furniture > Storage Furniture > Clothing Racks & Closet Organization > Clothes Racks & Portable Closets || School Supplies > Teacher Supplies > Teacher Resources > Maps & Globes || Tools, Parts & Supplies > Automotive > Tires & Wheels",,,
WestElm,Furniture > Living Room > Daybeds,Furniture > Living Room > Daybeds,True,stratified sample,"Furniture > Decor > Beds & Bedding > Headboards || Furniture > Chairs & Seating > Sofas & Benches > Sofas, Loveseats & Sectionals || Furniture > Chairs & Seating > Sofas & Benches || Furniture > Decor > Beds & Bedding || Furniture > Chairs & Seating > Stools & Ottomans || Furniture > Decor > Beds & Bedding > Beds & Mattresses || Furniture > Chairs & Seating || Furniture > Decor || Furniture > Bookcases & Bookshelves || Furniture > Chairs & Seating > Stools & Ottomans > Ottomans || Healthcare Supplies > Patient Care > Beds & Bedside Care > Medical Beds || Healthcare Supplies > Patient Care > Beds & Bedside Care",,,
WestElm,Outdoor > Outdoor Lounge Furniture > Lounge Sets,Outdoor > Outdoor Lounge Furniture > Lounge Sets,True,stratified sample,"Furniture > Chairs & Seating > Breakroom & Dining Chairs || Furniture > Chairs & Seating > Accent & Waiting Room Chairs || Gift Shop > Game Room & Toys > Game Room > Pool Tables & Accessories || Furniture > Chairs & Seating || Furniture > Home & Office Tables > Breakroom & Dining Tables || Furniture > Decor > Home & Office Decor > Indoor Fireplaces || Furniture > Chairs & Seating > Sofas & Benches || Furniture > Chairs & Seating > Kids Seating || Furniture > Chairs & Seating > Gaming Chairs || Healthcare Supplies > Durable Medical Equipment > Shower & Bath Aids > Shower Chairs / Benches || Gift Shop > Gift Sets, Photo & Custom Gifts > Gift Sets || Facilities > Hand & Power Tools > Hand Tools > Hand Tool Sets",,,
WestElm,Kitchen & Dining > Drinkware & Barware > Cocktail Glasses,Kitchen & Dining > Drinkware & Barware > Cocktail Glasses,True,stratified sample,"Restaurant & Foodservice Supplies > Tabletop > Bar Glassware || Appliances & Kitchenware > Kitchenware > Dining & Tableware > Drinkware & Glassware || Restaurant & Foodservice Supplies > Tabletop > Glassware || Appliances & Kitchenware > Kitchenware > Dining & Tableware > Carafes, Pitchers & Tumblers || Coffee, Water & Snacks > Water & Beverages > Water Bottles, Tumblers & Travel Mugs || Restaurant & Foodservice Supplies > Tabletop > Drinkware || Coffee, Water & Snacks > Coffee, Coffee Makers & Supplies > Carafes, Kettles & Decanters || Coffee, Water & Snacks > Plates, Cups & Cutlery || Appliances & Kitchenware > Kitchenware > Dining & Tableware || Party Supplies > Wedding Supplies > Wedding Glassware || Wearable Technology > Camera Glasses || Safety Supplies > Personal Protective Equipment (PPE) > Eye Protection > Safety Glasses, Goggles & Accessories",,,
WestElm,Furniture > Bedroom,Furniture > Bedroom,False,stratified sample,Furniture > Decor || Furniture || Furniture > Storage Furniture || Furniture > Home & Office Tables || Furniture > School Furniture || Furniture > Decor > Beds & Bedding || Furniture > Decor > Home & Office Decor || Furniture > Decor > Bath & Shower Accessories || Furniture > Decor > Home & Office Decor > Living Room Accents || Furniture > Decor > Home & Office Decor > Accent Furniture || Gift Shop > Game Room & Toys > Game Room || Gift Shop > Game Room & Toys,,,
