competitor,comp_path,staples_carries,gold_staples_path,source,labeller,note
Wayfair,Outdoor > Outdoor Shades > Carports,0,,stratified sample,Claude labelling agent (review with team),no outdoor structures shelf
Wayfair,Outdoor > Umbrellas > Market Umbrellas,1,Gift Shop > Professional Gifts > Compasses > Patio Furniture,stratified sample,Claude labelling agent (review with team),"judgement: patio umbrellas (Flash Furniture, Pure Garden) sold; no umbrella shelf, placed with Patio Furniture"
Wayfair,Home Improvement > Outdoor Remodel > Fencing Accessories,0,,stratified sample,Claude labelling agent (review with team),no fencing
Wayfair,Smallwares > Serveware > Tureens,1,Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware|Restaurant & Foodservice Supplies > Tabletop > Serveware,stratified sample,Claude labelling agent (review with team),"judgement: tureens = lidded serving bowls; serveware shelves, no tureen-specific shelf"
Wayfair,Outdoor > Backyard Play > Basketball Hoops,0,,stratified sample,Claude labelling agent (review with team),judgement: no hoop shelf; PE Equipment = balls/cones/ropes
Wayfair,Outdoor > Fitness > Dumbbells,1,Expanded Assortment > Fitness,stratified sample,Claude labelling agent (review with team),Fitness > Strength Training sells dumbbells/weights
Wayfair,Shop Contractor Spaces > Bedroom,1,Furniture > Decor > Beds & Bedding,stratified sample,Claude labelling agent (review with team),"judgement: beds, mattresses, bedding, lighting, closet covered; dressers/nightstands not"
Wayfair,Outdoor > Outdoor Fencing & Flooring > Turf,0,,stratified sample,Claude labelling agent (review with team),no artificial turf
Wayfair,Commercial Office Furniture > Office Cubicles & Partitions > Sneeze Guards,1,Furniture > Cubicle & Panel Systems > Desktop Privacy Panels,stratified sample,Claude labelling agent (review with team),Desktop Privacy Panels lists freestanding sneeze guards
Wayfair,Shop Contractor Spaces > Hallway & Mudroom,1,"Furniture > Storage Furniture > Coat Trees, Stands & Hooks|Furniture > Storage Furniture > Clothing Racks & Closet Organization > Shoe Racks",stratified sample,Claude labelling agent (review with team),"judgement: entry furniture, shoe storage, mats, runners, lighting covered; no single aisle"
Wayfair,Furniture > Bedroom Furniture > Daybeds,0,,stratified sample,Claude labelling agent (review with team),Beds & Mattresses = platform/loft/bunk beds; site search finds no daybeds
Wayfair,Furniture > Entry & Mudroom Furniture > Storage Benches > Small Bedroom Vanities,0,,stratified sample,Claude labelling agent (review with team),makeup vanities not carried (node nested under Storage Benches in scrape)
Wayfair,Outdoor > Fitness > Home Gyms,0,,stratified sample,Claude labelling agent (review with team),judgement: Fitness Machines = cardio only; no multi-station home gyms
Wayfair,Holiday > Valentine's Day > Valentine's Day Tableware & Linens,1,Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware|Restaurant & Foodservice Supplies > Tabletop > Placemats & Tablecloths,stratified sample,Claude labelling agent (review with team),judgement: product type = tableware/table linens; no holiday-specific shelf
Wayfair,School Spaces > Outdoor Playground & Recreation > Climbing Toys & Slides,1,School Supplies > Teacher Supplies > Physical Education & Recreation > Playground Equipment,stratified sample,Claude labelling agent (review with team),
Wayfair,Outdoor > Outdoor Heating > Fire Pits,1,Gift Shop > Professional Gifts > Compasses > Patio Furniture|Gift Shop > Professional Gifts > Compasses > Outdoor Heaters,stratified sample,Claude labelling agent (review with team),Patio Furniture page lists outdoor firepits
Wayfair,Baby & Kids > Toddler & Kids Bedroom Furniture > Baby & Kids Dressers,0,,stratified sample,Claude labelling agent (review with team),no dresser shelf
Wayfair,Outdoor > Backyard Play > Trampoline Accessories,0,,stratified sample,Claude labelling agent (review with team),no trampolines
Wayfair,Baby & Kids > Teen Decor & Lighting > Teen Tapestries and Wall Hangings,0,,stratified sample,Claude labelling agent (review with team),judgement: wall art is canvas/prints; site search finds no fabric tapestries
