competitor,comp_path,staples_carries,gold_staples_path,source,labeller,note
WestElm,Bedding > Bedding Essentials > Down Inserts,1,Furniture > Decor > Beds & Bedding > Bedding|Furniture > Decor > Beds & Bedding > Pillows,stratified sample,Claude labelling agent (review with team),down-filled duvet + bed-pillow inserts; Bedding shelf is thin (3 items) but on-type
WestElm,Furniture > Bedroom > Nightstands,0,,stratified sample,Claude labelling agent (review with team),"no nightstand shelf; a few nightstands scattered in Accent & Coffee Tables / Accent Furniture, not core (same standard as dressers)"
WestElm,Bath > Bathroom Furniture > Vanities,0,,stratified sample,Claude labelling agent (review with team),no bathroom vanity shelf; Facilities Sinks are commercial sinks
WestElm,Bath > Bathroom Furniture > Bathtubs,0,,stratified sample,Claude labelling agent (review with team),Tubs and Showers holds only shower heads; no bathtubs
WestElm,Kitchen & Dining > Serveware > Serving Platters & Stands,1,Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware|Restaurant & Foodservice Supplies > Tabletop > Serveware,stratified sample,Claude labelling agent (review with team),"Tableware page carries serving trays, platters, cake stands"
WestElm,Furniture > Bedroom > Armoires & Wardrobes,0,,stratified sample,Claude labelling agent (review with team),no armoire/wardrobe shelf (prior OD standard)
WestElm,Furniture > Living Room > Daybeds,0,,stratified sample,Claude labelling agent (review with team),Beds & Mattresses = platform/loft/bunk beds; site search finds no daybeds
WestElm,Outdoor > Outdoor Lounge Furniture > Lounge Sets,1,Gift Shop > Professional Gifts > Compasses > Patio Furniture,stratified sample,Claude labelling agent (review with team),
WestElm,Kitchen & Dining > Drinkware & Barware > Cocktail Glasses,1,Appliances & Kitchenware > Kitchenware > Dining & Tableware > Drinkware & Glassware,stratified sample,Claude labelling agent (review with team),judgement: Drinkware & Glassware incl. rocks/bar glasses; restaurant Bar Glassware page is empty
WestElm,Furniture > Bedroom,1,Furniture > Decor > Beds & Bedding > Beds & Mattresses|Furniture > Decor > Beds & Bedding > Headboards,stratified sample,Claude labelling agent (review with team),"judgement: beds, mattresses, headboards covered; dressers/nightstands/armoires are not"
WestElm,Outdoor > Planters & Garden > Outdoor Planters,0,,stratified sample,Claude labelling agent (review with team),no planter shelf; only a few indoor decorative planters sold via artificial-plant vendors
WestElm,Kitchen & Dining > Drinkware & Barware > Wine & Champagne Glasses,1,Appliances & Kitchenware > Kitchenware > Dining & Tableware > Drinkware & Glassware|Party Supplies > Wedding Supplies > Wedding Glassware,stratified sample,Claude labelling agent (review with team),judgement: Wedding Glassware = champagne flutes/wine glasses (plastic); Drinkware & Glassware is the glassware shelf
WestElm,Window > Curtain Rods & Hardware,1,"Furniture > Decor > Curtains, Blinds & Shades",stratified sample,Claude labelling agent (review with team),"Curtains, Blinds & Shades page currently holds only curtain rods (2 items)"
WestElm,Lighting > Ceiling Lighting > Chandeliers,1,Furniture > Lamps & Lighting > Ceiling Lighting,stratified sample,Claude labelling agent (review with team),
WestElm,Lighting > Sconces > Sconces,1,Furniture > Lamps & Lighting > Wall Lamps,stratified sample,Claude labelling agent (review with team),sconces = wall lamps
WestElm,Window > Window Shades > Window Shades,1,"Furniture > Decor > Curtains, Blinds & Shades",stratified sample,Claude labelling agent (review with team),shelf is thin (2 items)
WestElm,Bedding > All Bedding > Duvet Covers & Shams,1,Furniture > Decor > Beds & Bedding > Bedding,stratified sample,Claude labelling agent (review with team),"Bedding page carries duvet cover, sheet, pillowcase"
WestElm,Lighting > Sconces,1,Furniture > Lamps & Lighting > Wall Lamps,stratified sample,Claude labelling agent (review with team),
WestElm,Pillows & Decor > Room Decor > Vases,0,,stratified sample,Claude labelling agent (review with team),no vase shelf; Decorative Accents = figurines/sculptures/fountains (no vases)
WestElm,Art & Mirrors > Wall Organization & Decor > Wallpaper & Paneling,1,Furniture > Decor > Wall Art > Wall Decals,stratified sample,Claude labelling agent (review with team),judgement: York/RoomMates peel-and-stick wallpaper sits on the Wall Decals shelf; no paneling
WestElm,Office > Shop By Category > Rugs & Carpet Tiles,1,Decor > Rugs,stratified sample,Claude labelling agent (review with team),
WestElm,Lighting > Ceiling Lighting > Flush Mounts,1,Furniture > Lamps & Lighting > Ceiling Lighting,stratified sample,Claude labelling agent (review with team),
WestElm,Kitchen & Dining > Kitchen > Kitchen Towels & Pot Holders,1,Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Oven Mitts & Potholders,stratified sample,Claude labelling agent (review with team),judgement: pot holders covered; no kitchen-towel shelf
WestElm,Kitchen & Dining > Drinkware & Barware > Bar Tools,1,Restaurant & Foodservice Supplies > Bar Supplies|Gift Shop > Professional Gifts > Bar Accessories,stratified sample,Claude labelling agent (review with team),"Bar Supplies has shakers, muddlers, bar spoons"
WestElm,Furniture > Living Room > End & Side Tables,1,Furniture > Home & Office Tables > Accent & Coffee Tables,stratified sample,Claude labelling agent (review with team),
WestElm,Window > Curtains > Patterned Curtains,1,"Furniture > Decor > Curtains, Blinds & Shades",stratified sample,Claude labelling agent (review with team),shelf is thin (2 items)
WestElm,Kitchen & Dining > Serveware > Serving Bowls,1,Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware|Restaurant & Foodservice Supplies > Tabletop > Serveware,stratified sample,Claude labelling agent (review with team),Tableware page carries serving/fruit bowls
WestElm,Window > Curtain Rods & Hardware > Curtain Rods & Hardware,1,"Furniture > Decor > Curtains, Blinds & Shades",stratified sample,Claude labelling agent (review with team),"Curtains, Blinds & Shades page currently holds only curtain rods"
WestElm,Furniture > Living Room > Console & Sofa Tables,1,Furniture > Home & Office Tables > Accent & Coffee Tables,stratified sample,Claude labelling agent (review with team),console tables are listed in Accent & Coffee Tables
WestElm,Art & Mirrors > Art > Dimensional Art,1,Furniture > Decor > Wall Art > Wall Art/Decor,stratified sample,Claude labelling agent (review with team),judgement: 3D wall decor under the broad Wall Art/Decor shelf
WestElm,Pillows & Decor > Room Decor > Decorative Objects,1,Furniture > Decor > Decorative Accents,stratified sample,Claude labelling agent (review with team),"Decorative Accents = figurines, sculptures, decorative boxes"
WestElm,Pillows & Decor > Room Decor > Jewelry Storage,1,"Gift Shop > Home, Personal & Travel > Jewelry Boxes & Cases",stratified sample,Claude labelling agent (review with team),
WestElm,Outdoor > Outdoor Lounge Furniture > Side Tables,1,Gift Shop > Professional Gifts > Compasses > Patio Furniture,stratified sample,Claude labelling agent (review with team),
WestElm,Outdoor > Outdoor Lounge Furniture,1,Gift Shop > Professional Gifts > Compasses > Patio Furniture,stratified sample,Claude labelling agent (review with team),
WestElm,Storage > Storage Accessories > Travel & Commuting,1,"Bags, Backpacks & Luggage > Luggage & Travel Accessories|Bags, Backpacks & Luggage > Backpacks & Laptop Bags",stratified sample,Claude labelling agent (review with team),judgement: travel bags/pouches and commuter laptop bags
WestElm,Window > Curtains > Solid Curtains,1,"Furniture > Decor > Curtains, Blinds & Shades",stratified sample,Claude labelling agent (review with team),shelf is thin (2 items)
WestElm,Kitchen & Dining,1,Appliances & Kitchenware > Kitchenware,stratified sample,Claude labelling agent (review with team),
WestElm,Outdoor > Outdoor Solutions > Furniture Cushion & Cushion Covers,0,,stratified sample,Claude labelling agent (review with team),"no outdoor cushion shelf; Patio Furniture sells chairs 'with cushions', not replacement cushions/covers"
WestElm,Rugs > Rugs By Type > Performance & Washable Rugs,1,Decor > Rugs,stratified sample,Claude labelling agent (review with team),
WestElm,Bath > Bath Linens,1,Furniture > Decor > Bath Mats & Towels|Furniture > Decor > Shower Curtains & Accessories,stratified sample,Claude labelling agent (review with team),shelves are thin (3 and 6 items)
WestElm,Outdoor > Outdoor Dining Furniture,1,Gift Shop > Professional Gifts > Compasses > Patio Furniture,stratified sample,Claude labelling agent (review with team),
WestElm,Bath > Bathroom Accessories > Bathroom Accessories,1,Furniture > Decor > Bath & Shower Accessories,stratified sample,Claude labelling agent (review with team),
WestElm,Outdoor,1,Gift Shop > Professional Gifts > Compasses|Gift Shop > Professional Gifts > Compasses > Patio Furniture,stratified sample,Claude labelling agent (review with team),Staples outdoor-living aisle (oddly under Gift Shop > Compasses); bulk is patio furniture
WestElm,Art & Mirrors > Frames > Picture Frame Sets,1,Furniture > Decor > Picture Frames & Photo Albums,stratified sample,Claude labelling agent (review with team),
WestElm,Bath > Bathroom Furniture > Medicine Cabinets & Mirrors,1,Furniture > Decor > Mirrors,stratified sample,Claude labelling agent (review with team),judgement: bathroom wall mirrors covered; medicine cabinets are not
WestElm,Office > Shop By Category > Office Furniture Sets,1,Furniture > Desks > Office Desks,stratified sample,Claude labelling agent (review with team),judgement: desk-led office suites sit in Office Desks; no furniture-set shelf
