competitor,comp_path,context_path,is_leaf,source,candidates,staples_carries,gold_staples_path,note
Amazon,"Office Products > Office Electronics > Electronic Dictionaries, Thesauri & Translators","Office Products > Office Electronics > Electronic Dictionaries, Thesauri & Translators",True,stratified sample,"Office Supplies > Writing Supplies & Instruments || Computers & Accessories > Computer Accessories & Peripherals > Computer Speakers || Computer Software > Education & Language Learning Software || Office Supplies > Custom Marketing Materials || Computer Software > Office & Business Software || Shredders, Projectors & Office Machines > Calculators > Industry Specific Calculators || Computers & Accessories > Computer Parts & Components || Office Supplies > Forms & Recordkeeping > Digital Legal Forms || Computer Software > Legal Software || Furniture > Storage Furniture > Electronics & Computer Storage Units || Phones, Cameras & Electronics || Facilities > Electrical and Wiring > Electrical",,,
Amazon,Industrial & Scientific > Robotics > Unmanned Aerial Vehicles (UAVs),Industrial & Scientific > Robotics > Unmanned Aerial Vehicles (UAVs),True,stratified sample,"Phones, Cameras & Electronics > Drones & UAV || Laboratory & Scientific Supplies > Lab Instruments & Equipment || Wearable Technology > Action Cameras || Laboratory & Scientific Supplies > Controlled Environment Supplies || Laboratory & Scientific Supplies || Laboratory & Scientific Supplies > Lab Safety || Safety Supplies > Test Instruments, Meters & Precision Tools || Wearable Technology > Sports & Handheld GPS || Laboratory & Scientific Supplies > Lab Instruments & Equipment > Laboratory Pumps & Accessories || Laboratory & Scientific Supplies > Lab Instruments & Equipment > Water & Wastewater Testing || School Supplies > Learning at Home > Pretend Play > Toy Vehicles || Healthcare Supplies > Durable Medical Equipment > Patient Lift & Transfer > Vehicle Lifts",,,
Amazon,Health & Personal Care > Sports Nutrition > Pre-Workout,Health & Personal Care > Sports Nutrition > Pre-Workout,True,stratified sample,Fitness > Fitness Equipment || Fitness || Fitness > Fitness Equipment > Fitness Machines || Fitness > Fitness Equipment > Fitness Machines > Fitness Machines || Expanded Assortment > Fitness || Healthcare Supplies > Personal Care > Skin Care > Supplements || Healthcare Supplies > Patient Care > Diagnostic & Exam Instruments > Health & Body Weight Scales || Healthcare Supplies > Patient Care > Practice Front Desk Supplies > Personal Care Kits || School Supplies > Teacher Supplies > Physical Education & Recreation > Physical Education Equipment || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Clinical Nutrition || Facilities > Locks & Key Control > Lockout Devices || Restaurant & Foodservice Supplies > Commercial Restaurant Equipment > Kitchen Work & Prep Tables,,,
Amazon,Health & Personal Care > Household Supplies > Moisture Absorbers,Health & Personal Care > Household Supplies > Moisture Absorbers,True,stratified sample,"Cleaning Supplies > Cleaning Chemicals & Wipes > Dilution Control Systems & Chemicals || Facilities > Paint Supplies > Surface Protection || Cleaning Supplies > Natural Cleaning Supplies > Natural Cleaning Supplies || Cleaning Supplies > Natural Cleaning Supplies || Facilities > Heating & Cooling > Air Conditioners || Cleaning Supplies > Cleaning Chemicals & Wipes || Cleaning Supplies > Chemical Sterilization Equipment || Cleaning Supplies > Cleaning Chemicals & Wipes > Cleaning Chemicals || Tools, Parts & Supplies > Chemicals, Lubricants & Paints || Facilities > Grounds Maintenance > Outdoor Tools > Pressure Washers & Accessories || Healthcare Supplies > Personal Care > Skin Care > Lotion & Moisturizer || Paper > Envelopes > Finger Pads & Moisteners",,,
Amazon,Industrial & Scientific > Industrial Hardware > Braces & Joist Hangers,Industrial & Scientific > Industrial Hardware > Braces & Joist Hangers,True,stratified sample,"Facilities > Hardware > Fasteners || Office Supplies > Clips, Fasteners & Rubber Bands > Paper Fasteners || Tools, Parts & Supplies > Measuring & Leveling Tools > Industrial Tape || Office Supplies > Tape, Fasteners & Adhesives || Office Supplies > Tape, Fasteners & Adhesives > Mounting > Hook and Loop Fasteners || Retail Store Supplies > Sewing & Tailoring > Fasteners || Office Supplies > Tape, Fasteners & Adhesives > Mounting || Office Supplies > Clips, Fasteners & Rubber Bands || Office Supplies > Tape, Fasteners & Adhesives > Mounting > Hooks & Hanging Strips || Tools, Parts & Supplies > Industrial Adhesives, Sealants & Tapes || Retail Store Supplies > Backroom Retail Supplies > Clothing Hangers & Accessories || Paper > Envelopes > Finger Pads & Moisteners",,,
Amazon,"Industrial & Scientific > Power Transmission Products > Couplings, Collars & Universal Joiners","Industrial & Scientific > Power Transmission Products > Couplings, Collars & Universal Joiners",True,stratified sample,"Facilities > Hand & Power Tools > Power Tools > Pneumatic Tools || Tools, Parts & Supplies > Automotive > Booster Cables, Battery Clamps & Chargers || Tools, Parts & Supplies > Power Tools > Pressure Washer Accessories / Attachments || Facilities > Hand & Power Tools > Power Tools > Screw Extractors & Sets || Tools, Parts & Supplies > Power Tools > Hydraulic Drivers & Punch Kits || Tools, Parts & Supplies > Fittings || Tools, Parts & Supplies > Hose Clamps || Facilities > Hand & Power Tools > Power Tools > Power Saws & Accessories || Tools, Parts & Supplies > Power Tools > Metal Detectors || Tools, Parts & Supplies > Measuring & Leveling Tools > Industrial Tape || Party Supplies > Anniversary Supplies || Expanded Assortment > Paint & Paint Supplies > Paint Trays & Liners",,,
Amazon,"Arts, Crafts & Sewing > Crafting > Scratchboards & Foil Engraving","Arts, Crafts & Sewing > Crafting > Scratchboards & Foil Engraving",True,stratified sample,"Arts & Crafts > Crafting > Craft Supplies || Arts & Crafts > Crafting || Arts & Crafts > Crafting > Craft Kits || Arts & Crafts > Crafting > Art Portfolios & Craft Storage || Tools, Parts & Supplies > Chalk Reels & Marking Tools > Stencil Sets || Tools, Parts & Supplies > Chalk Reels & Marking Tools > Steel Hand Stamp Sets || Arts & Crafts > Drawing & Colored Pencils || Arts & Crafts > Scrapbooking > Stamps & Stencils || Arts & Crafts > Art Paper & Rolls || Arts & Crafts > Scrapbooking > Stickers & Embellishments || Restaurant & Foodservice Supplies > Disposable Food Packaging > Food Packaging Wrap > Food Wrap & Foils || Tools, Parts & Supplies > Scratch Brushes",,,
Amazon,Industrial & Scientific > Power Transmission Products > Mechanical Pulleys,Industrial & Scientific > Power Transmission Products > Mechanical Pulleys,True,stratified sample,"Facilities > Hand & Power Tools > Power Tools > Pneumatic Tools || Tools, Parts & Supplies > Power Tools > Hydraulic Drivers & Punch Kits || Tools, Parts & Supplies > Coated Flap Wheel Abrasives || Tools, Parts & Supplies > Keystocks, Shims & Valves || Tools, Parts & Supplies > Measuring & Leveling Tools > Industrial Tape || Computers & Accessories > Computer Parts & Components > Power Supplies || Tools, Parts & Supplies > Non Woven Wheel Abrasives || Tools, Parts & Supplies > Power Tools > Pressure Washer Accessories / Attachments || Tools, Parts & Supplies > Automotive > Booster Cables, Battery Clamps & Chargers || Facilities > Hand & Power Tools > Power Tools > Screw Extractors & Sets || Tools, Parts & Supplies > Hand Tools > Pullers & Accessories || Facilities > Material Handling > Hoists, Winches & Pullers",,,
Amazon,Home & Kitchen > Event & Party Supplies > Adult Novelty,Home & Kitchen > Event & Party Supplies > Adult Novelty,True,stratified sample,Party Supplies > Party Favors & Costumes || Gift Shop > Game Room & Toys || Party Supplies > Party Favors & Costumes > Party Hats || Party Supplies > Wedding Supplies || Party Supplies > Party Favors & Costumes > Costumes & Accessories || Party Supplies > Balloons & Accessories || School Supplies > Learning at Home > Educational & STEM Toys || Gift Shop > As Seen on TV || School Supplies > Preschool Supplies > Pretend Play & Dress Up || Party Supplies || Healthcare Supplies > Personal Care > Incontinence > Adult Briefs || Safety Supplies > Ice Melt,,,
Amazon,Health & Personal Care > Sports Nutrition > Fat Burners & Thermogenics,Health & Personal Care > Sports Nutrition > Fat Burners & Thermogenics,True,stratified sample,Healthcare Supplies > Personal Care > Skin Care > Supplements || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Vitamins & Supplements || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Clinical Nutrition || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Stop Smoking Aids || Healthcare Supplies > Patient Care > Feeding Tubes & Nutrients > Eating & Drinking Aids || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Anti-Nausea & Digestive Aids || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Pill Organizers & Storage || Fitness > Fitness Equipment || Healthcare Supplies > Patient Care > Diagnostic & Exam Instruments > Health & Body Weight Scales || Hard Drives & Data Storage > Disc Drives & Burners || Facilities > Heating & Cooling > Thermostats,,,
