competitor,comp_path,staples_carries,gold_staples_path,source,labeller,note
Amazon,"Office Products > Office Electronics > Electronic Dictionaries, Thesauri & Translators",0,,stratified sample,Claude labelling agent (review with team),electronic dictionaries/translators; no Staples shelf (not calculators)
Amazon,Industrial & Scientific > Robotics > Unmanned Aerial Vehicles (UAVs),1,"Phones, Cameras & Electronics > Drones & UAV",stratified sample,Claude labelling agent (review with team),
Amazon,Health & Personal Care > Sports Nutrition > Pre-Workout,0,,stratified sample,Claude labelling agent (review with team),"judgement: sports-nutrition powder; Staples vitamins shelf is vitamins/OTC supplements, no sports-nutrition shelf"
Amazon,Health & Personal Care > Household Supplies > Moisture Absorbers,1,"Shipping, Packing & Mailing Supplies > Shipping Supplies > Desiccants & Cold Packs > Desiccants",stratified sample,Claude labelling agent (review with team),judgement: moisture absorbers are desiccants (DampRid/silica); Staples desiccants shelf is packaging-oriented
Amazon,Industrial & Scientific > Industrial Hardware > Braces & Joist Hangers,1,"Tools, Parts & Supplies > Hardware",stratified sample,Claude labelling agent (review with team),judgement: braces/brackets under general hardware shelf; no structural-connector shelf
Amazon,"Industrial & Scientific > Power Transmission Products > Couplings, Collars & Universal Joiners",0,,stratified sample,Claude labelling agent (review with team),power-transmission components; no Staples shelf
Amazon,"Arts, Crafts & Sewing > Crafting > Scratchboards & Foil Engraving",1,Arts & Crafts > Crafting > Craft Supplies|Arts & Crafts > Crafting > Craft Kits,stratified sample,Claude labelling agent (review with team),judgement: scratch-art is a kids craft supply/kit
Amazon,Industrial & Scientific > Power Transmission Products > Mechanical Pulleys,0,,stratified sample,Claude labelling agent (review with team),power-transmission pulleys/sheaves; no Staples shelf
Amazon,Home & Kitchen > Event & Party Supplies > Adult Novelty,0,,stratified sample,Claude labelling agent (review with team),adult/bachelorette novelties; not carried
Amazon,Health & Personal Care > Sports Nutrition > Fat Burners & Thermogenics,1,Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Vitamins & Supplements,stratified sample,Claude labelling agent (review with team),judgement: fat-burner capsules treated as dietary supplements (vs pre-workout/BCAA = 0)
Amazon,Electronics > Video Game Consoles & Accessories > Xbox One,1,Gaming,stratified sample,Claude labelling agent (review with team),legacy console platform; same product type (consoles/accessories/games) -> Gaming dept
Amazon,"Patio, Lawn & Garden > Farm & Ranch > Livestock Supplies",0,,stratified sample,Claude labelling agent (review with team),livestock/farm supplies; no Staples shelf (pet supplies only)
Amazon,"Arts, Crafts & Sewing > Printmaking > Printing Presses & Accessories",0,,stratified sample,Claude labelling agent (review with team),printmaking presses/brayers; no Staples printmaking shelf
Amazon,"Patio, Lawn & Garden > Gardening & Lawn Care > Greenhouses & Accessories",0,,stratified sample,Claude labelling agent (review with team),greenhouses; no Staples garden-center shelf
Amazon,"Patio, Lawn & Garden > Gardening & Lawn Care > Plant & Soil Monitoring",0,,stratified sample,Claude labelling agent (review with team),judgement: soil/plant meters; Staples lawn & garden tools are hand tools
Amazon,Industrial & Scientific > Cutting Tools > Countersinks,1,"Tools, Parts & Supplies > Hand Tools > Reamers & Deburring Tools|Tools, Parts & Supplies > Power Tools > Drilling and Fastening Tools",stratified sample,Claude labelling agent (review with team),judgement: countersinks sit with deburring tools / drill accessories
