competitor,comp_path,staples_carries,gold_staples_path,source,labeller,note
OfficeDepot,Electronics > Phones & Accessories > Conferencing > Teleconferencing,1,"Phones, Cameras & Electronics > Phones & Accessories > Office Phones",stratified sample,Claude first pass (review with team),
OfficeDepot,Office Supplies > Business Forms & Bookkeeping > Financial Bookkeeping > Columnar Pads,1,Office Supplies > Forms & Recordkeeping > Accounting & Record Journals,stratified sample,Claude first pass (review with team),
OfficeDepot,Breakroom > Appliances > Kitchen > Stoves,0,,stratified sample,Claude first pass (review with team),
OfficeDepot,"Office Supplies > Mailing, Packing & Shipping > Mailroom Equipment",1,"Shipping, Packing & Mailing Supplies > Mailing Supplies > Postal Scales & Meters",stratified sample,Claude first pass (review with team),
OfficeDepot,Breakroom > Fresh & Frozen Foods > Dairy,1,"Coffee, Water & Snacks > Water & Beverages > Milk & Creamer|Coffee, Water & Snacks > Snacks & Food > Fresh, Frozen & Dry Groceries",stratified sample,Claude first pass (review with team),
OfficeDepot,Breakroom > Appliances > Kitchen > Can Openers,1,Appliances & Kitchenware > Kitchenware > Kitchen Tools > Kitchen Tools & Gadgets,stratified sample,Claude first pass (review with team),
OfficeDepot,Computers & Accessories > Data Storage & Media > Media > DVD+RW Rewritable Discs,1,Hard Drives & Data Storage > Blank Media,stratified sample,Claude first pass (review with team),
OfficeDepot,In Room Solutions,0,,stratified sample,Claude first pass (review with team),
OfficeDepot,Cleaning > Medical Supplies > Respiratory > Breathing Tubes,1,Healthcare Supplies > Patient Care > Respiratory Therapy,stratified sample,Claude first pass (review with team),
OfficeDepot,Electronics > Phones & Accessories > Cell Phone Accessories > UV Phone Sanitizers,1,"Phones, Cameras & Electronics > Cell Phone Accessories",stratified sample,Claude first pass (review with team),
OfficeDepot,Furniture > Lamps & Lighting > Light Bulbs > Fluorescent Tubes,1,"Facilities > Commercial Lighting, Ballasts & Bulbs > Light Bulbs",stratified sample,Claude first pass (review with team),
OfficeDepot,Office Supplies > Presentation Boards > Interactive Whiteboards & Accessories,1,TV & Streaming Media > TV & Video > Smart Boards,stratified sample,Claude first pass (review with team),
OfficeDepot,Paper > Notebooks & Pads > Memo & Scratch Pads,1,Office Supplies > Notebooks & Notepads,stratified sample,Claude first pass (review with team),
OfficeDepot,Cleaning > Medical Supplies > Baby Supplies > Sound Machines,0,,stratified sample,Claude first pass (review with team),
OfficeDepot,Electronics > Phones & Accessories > Phone Accessories > Phone Stands & Shoulder Rests,1,"Phones, Cameras & Electronics > Phones & Accessories > Phone Accessories",stratified sample,Claude first pass (review with team),
OfficeDepot,Electronics > Networking & Cables > Network Switches & Hubs > Unmanaged Switches,1,Networking & WiFi > Ethernet Switches,stratified sample,Claude first pass (review with team),
OfficeDepot,Cleaning > Medical Supplies > Patient Care > Nursing Supplies,1,Healthcare Supplies > Patient Care,stratified sample,Claude first pass (review with team),
OfficeDepot,Furniture > Carts & Stands > Carts > Charging Carts & Stations,1,Furniture > Carts & Stands,stratified sample,Claude first pass (review with team),
OfficeDepot,Cleaning > Facility Supplies > Flashlights & Emergency Products,1,Facilities > Flashlights & Lanterns,stratified sample,Claude first pass (review with team),
